datetime,AAVE,COMP,LINK,MATIC,SHIB,SOL,SUSHI,UNI,USDC,USDT,WBTC
28-11-2024 00:00,201.04869696929876,73.11423852,17.98467731972646,0.5633721294981818,2.5251668258157577e-05,0.004960078,1.1624078508319675,12.778237202667249,1,1,95498.08427618693
29-11-2024 00:00,199.6673589014558,70.96579471754802,18.33595608944359,0.581692146,2.6097472019772868e-05,0.00498942,1.1920291459563621,12.639042629285607,1,1,97379.35515213416
30-11-2024 00:00,211.81479853448243,71.58555307,19.094794950029673,0.5984546107030101,2.6751243261060453e-05,0.004986589,1.3597827694620308,12.80553966307616,1,1,96237.17052580556
01-12-2024 00:00,209.9758624,72.95323490829864,18.950743406178514,0.6058342223318912,3.115533773035898e-05,0.004867938,1.3313136896889666,13.079261732523506,1,1,97258.73383395447
02-12-2024 00:00,234.94025767814003,83.72304180624796,25.136109572966834,0.6515274809312701,2.9456628632541798e-05,0.004867938,1.3724613245003823,13.925806599533772,1,1,95621.32591274797
03-12-2024 00:00,241.57875620120672,87.90884146181438,24.253144952678134,0.704847565,2.848815578729445e-05,0.004867938,1.43537504,15.170468999583328,1,1,95829.28348620885
04-12-2024 00:00,256.77295996733363,120.83127803131961,24.084280476522927,0.7081172990150594,3.2861688771277334e-05,0.00498036,1.4985239072488858,15.668613333917136,1,1,98756.89086917462
05-12-2024 00:00,247.8523787050341,114.25759819258049,23.222853328002806,0.6805261073875238,3.04442526239695e-05,0.004960205,1.4826013386221322,15.090132212634716,1,1,96594.12619
06-12-2024 00:00,282.1508919569949,118.10278080379007,25.87482125,0.7122694607948782,3.0970090303506165e-05,0.004989867,1.742292383524416,17.650511855357497,1,1,99609.23740087937
07-12-2024 00:00,282.9843135740625,120.08947377176071,24.84106833,0.698749094,3.224323397321814e-05,0.004989836,1.9308062173112595,18.13017700333073,1,1,99706.00979861748
08-12-2024 00:00,283.6108336639989,118.56940438655309,26.158327546338068,0.7005659225117784,3.2147472702025806e-05,0.005323889,2.643249619323694,18.63649152460571,1,1,100726.88208862663
09-12-2024 00:00,259.8782539811669,98.11697233,22.321786128112713,0.5822486047513491,2.7179882394964532e-05,0.006225527,2.075657027966305,16.04395936401362,1,1,97035.16060822472
10-12-2024 00:00,275.3349054579704,95.95315596625127,22.17229038733975,0.5802197891663412,2.7133190924269e-05,0.006225527,2.037104672661714,15.25281962879923,1,1,96367.37077411223
11-12-2024 00:00,302.4108345785473,103.7527822191294,24.121172925562558,0.6336210249501459,2.916366552115241e-05,0.006225527,2.306561195671506,17.141510411610106,1,1,101132.78440340492
12-12-2024 00:00,367.1442092895353,112.04532995673786,29.143287636642228,0.6199921028537831,2.8228984892768318e-05,0.006225527,2.212809384480931,17.61828264532516,1,1,99805.4336
13-12-2024 00:00,376.6747704950943,110.24512472051283,28.998310772481304,0.6172206480383547,2.817981101335292e-05,0.004981455,2.165245929,17.418756908855865,1,1,100947.9049351401
14-12-2024 00:00,364.98749866505545,106.20505854474231,29.023947990165677,0.5971972046037199,2.7354143246664025e-05,0.004989924,2.0988016457258443,16.76144321401734,1,1,100938.92208047632
15-12-2024 00:00,370.1329790693984,109.97013152387194,29.31482426737371,0.6105551511890522,2.7885323253431745e-05,0.004989924,2.2461154501236793,17.114094829335237,1,1,104386.63577457667
16-12-2024 00:00,379.1786580838593,106.6067597619171,28.761011733225175,0.5913775836981909,2.7152723754681495e-05,0.004989924,2.0280401760092532,16.297933712224037,1,1,105480.91629314562
17-12-2024 00:00,361.1812695915901,100.03110542676552,27.79071687591478,0.5632144879750026,2.6392500957560943e-05,0.004989924,1.9639598076016471,16.256537097027152,1,1,105834.7972963152
18-12-2024 00:00,341.0676272191113,90.53434927196373,24.867389843086727,0.5150741365174338,2.4010865899520074e-05,0.004989804,1.7222801579573486,14.799430656544104,1,1,99918.13707
19-12-2024 00:00,315.6957335043667,80.98715235531563,22.901983536678845,0.47764137145439733,2.1963680946033223e-05,0.004989442,1.5165342105978201,12.770582782671857,1,1,97267.39621254412
20-12-2024 00:00,330.47824260563544,84.78741339751936,23.37514509,0.4983747708556755,2.2363324788916918e-05,0.004963038,1.5688386067731879,13.699711931358625,1,1,97249.23650585521
21-12-2024 00:00,297.84428790754885,80.45014961714112,21.983095985939617,0.4686819925029928,2.1708876045103064e-05,0.004960318,1.4303185321662828,13.35447428889124,1,1,97131.14035227132
22-12-2024 00:00,317.51615564885833,79.86163740976016,22.073958300711972,0.47162990506085134,2.1548107070548033e-05,0.004960302,1.42849269,13.877643670900564,1,1,94921.30976282129
23-12-2024 00:00,384.87672891061965,85.01865900539559,24.505733902091727,0.5003639032161081,2.2405488919390508e-05,0.004960302,1.5495761317174892,14.311068310357818,1,1,94581.07163
24-12-2024 00:00,376.1597973574595,87.18473433868463,25.476158065901387,0.5259921639673557,2.3310221728024235e-05,0.004960302,1.6551574505790043,14.614728156046391,1,1,98387.79700871906
25-12-2024 00:00,368.58459919601444,86.06260984665778,24.421139487825027,0.5121161764145795,2.302747852272459e-05,0.004960302,1.569948214320233,13.834235184408646,1,1,99021.00149280968
26-12-2024 00:00,337.31931914737874,79.28633090965269,22.633242467498984,0.4760464396425689,2.143341740937368e-05,0.004960302,1.4324499980641037,13.222870721273196,1,1,95368.10658000542
27-12-2024 00:00,323.3398386178106,78.71282100355289,21.485513638531838,0.4772361627256638,2.1606129391435842e-05,0.004960302,1.4326954312349334,13.261516222245016,1,1,94183.14928125743
28-12-2024 00:00,354.3733032669317,81.14223227448608,22.037365733161693,0.48721964082330677,2.213067544587257e-05,0.004960302,1.4856303167754081,13.61114715,1,1,95087.58746824597
29-12-2024 00:00,331.18989870186624,77.24652939471542,20.92595571412261,0.4656988093621995,2.143843497351739e-05,0.004960302,1.408056986286181,12.955714589825547,1,1,93434.98206068369
30-12-2024 00:00,320.7142472500041,75.87963526213281,20.521626883688352,0.45910219,2.1126265241292706e-05,0.004727656,1.3672418022274302,13.28112416425832,1,1,92563.82334822058
31-12-2024 00:00,309.28274317206575,73.35346234738617,19.953887068059213,0.45034982400384643,2.1198507574870155e-05,0.004727656,1.3510072883507045,13.21738383389752,1,1,93192.44840701962
